嚴重程度,時,分,區,天候,光線,道路類別,速限,道路型態,事故位置,路面狀態,路面缺陷,障礙物,視距,號誌種類,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,車輛用途,當事者行動狀態,駕駛資格情形,飲酒情形,車輛撞擊部位最初,肇事因素個別,肇事因素主要,職業
1,15,32,石岡區,8,1,5,50,4,1,5,4,5,7,4,12,17,3,10,1,7,9,1,2,2,17,17,22
0,15,35,大里區,8,1,5,60,3,1,5,4,5,7,4,16,7,3,10,1,7,7,1,2,8,7,7,10
0,15,55,南區,8,1,5,50,14,20,5,4,5,7,4,17,42,2,8,1,7,15,1,2,11,42,42,22
0,16,3,中區,8,1,5,50,3,2,5,4,5,7,4,14,12,3,10,1,7,2,1,2,7,12,12,4
1,16,4,西屯區,8,1,5,50,14,7,5,4,5,7,4,16,10,3,10,1,7,11,1,2,4,10,10,4
0,16,11,西屯區,8,1,5,50,14,9,5,4,5,7,4,16,4,3,10,3,7,15,1,2,14,4,4,22
1,16,24,西屯區,8,1,5,50,4,1,5,4,5,7,4,16,6,2,9,1,7,9,8,2,16,6,6,21
0,16,40,西屯區,8,1,5,50,4,1,5,4,5,7,1,16,7,2,8,1,7,9,1,2,14,44,7,4
0,16,46,烏日區,8,1,5,50,5,1,5,4,5,7,1,16,9,3,10,1,7,6,1,2,2,9,9,20
0,16,48,北屯區,8,1,5,50,14,7,5,4,5,7,4,17,26,3,10,3,7,11,1,2,7,26,26,21
0,16,58,北區,8,1,5,50,4,1,5,4,5,7,4,17,6,3,10,1,7,9,1,11,15,6,6,22
0,17,0,西區,8,1,5,30,3,2,5,4,5,7,4,12,40,3,10,1,7,13,1,2,4,40,40,5
0,17,10,南屯區,8,1,5,50,4,1,5,4,5,7,2,16,6,3,10,1,7,5,1,2,2,6,6,21
1,17,20,大甲區,8,3,5,50,14,9,5,4,5,7,4,16,8,2,8,1,7,5,1,2,13,8,8,19
0,17,24,南屯區,8,1,5,50,14,7,5,4,5,7,4,16,26,3,10,3,7,11,1,2,7,26,26,21
1,17,35,北屯區,8,1,5,50,14,9,5,4,5,7,4,3,23,2,9,4,8,16,8,10,16,53,23,21
0,17,35,大里區,8,1,5,50,14,9,5,4,5,7,4,16,19,3,10,1,7,1,1,2,5,19,19,22
0,17,38,北屯區,8,1,5,50,14,9,5,4,5,7,4,16,10,3,10,1,7,11,1,2,7,10,10,21
0,18,12,西屯區,8,3,5,40,14,8,5,4,5,7,4,16,27,2,9,3,7,5,1,2,11,27,27,22
0,18,16,烏日區,8,3,5,40,3,2,5,4,5,7,1,23,42,2,1,1,7,8,1,9,1,42,42,21
0,18,35,西屯區,8,3,5,50,14,9,5,4,5,7,4,29,43,2,9,1,7,9,1,2,14,43,43,4
0,19,22,西屯區,8,3,5,50,3,1,5,4,5,7,4,13,23,3,10,1,7,9,1,2,11,23,23,22
0,19,35,大甲區,8,3,5,40,4,1,5,4,5,7,4,15,6,3,10,1,7,9,1,2,5,6,6,21
0,20,33,烏日區,8,3,5,50,5,1,5,4,5,7,1,16,7,2,9,1,7,8,1,2,12,7,7,21
1,20,52,東區,8,3,5,50,3,1,5,4,5,7,4,16,6,2,7,1,7,5,1,2,12,6,6,21
0,20,55,霧峰區,8,3,5,70,3,1,5,4,5,7,3,16,8,3,10,1,7,5,1,2,2,8,8,22
0,21,14,南區,8,1,5,50,3,1,5,4,5,7,4,16,6,2,8,1,7,9,1,2,11,6,6,22
1,21,39,中區,8,3,5,30,4,1,5,4,5,3,4,15,6,2,9,1,7,9,1,2,12,6,6,21
0,21,58,太平區,8,1,5,50,14,13,5,4,5,7,4,2,23,3,10,1,7,9,1,2,12,23,23,18
0,22,15,西屯區,8,3,5,50,4,1,5,4,5,7,1,16,19,3,10,1,7,1,1,2,4,19,19,4
0,22,41,南屯區,7,3,5,50,3,1,5,4,5,7,1,16,6,3,10,3,7,6,1,2,2,6,6,22
0,22,45,烏日區,8,3,5,60,14,13,5,4,5,7,4,17,42,2,9,1,7,9,1,2,12,42,42,21
0,23,3,沙鹿區,8,3,5,50,4,1,5,4,5,7,1,17,16,3,10,1,7,9,1,2,11,16,16,3
0,23,15,神岡區,7,3,5,50,14,9,5,4,5,7,4,18,22,2,9,1,7,9,1,2,11,22,22,12
0,23,35,烏日區,8,1,5,50,4,1,5,4,5,7,3,16,6,3,10,1,7,5,1,2,8,6,6,21
1,5,56,大里區,8,3,5,50,14,9,5,4,5,7,4,3,51,1,1,4,8,16,8,10,16,51,51,4
1,6,0,梧棲區,8,1,5,50,14,7,5,4,5,7,4,3,23,3,10,1,7,9,1,2,1,23,23,21
0,6,15,豐原區,8,1,5,30,3,1,5,4,5,7,4,16,43,3,10,3,7,5,1,2,4,43,43,22
0,6,23,北屯區,8,2,5,50,4,1,5,4,5,7,1,11,26,3,10,1,7,5,1,2,1,26,26,21
1,6,37,西屯區,8,1,5,50,4,1,5,4,5,7,2,13,16,2,9,1,7,9,1,2,11,16,16,21
0,6,49,龍井區,7,1,5,30,11,9,3,4,5,7,4,18,23,2,8,1,7,15,1,2,14,23,23,5
0,6,52,南屯區,6,2,5,40,14,11,4,4,5,7,4,18,23,2,9,1,7,9,1,2,14,23,23,22
0,6,55,龍井區,8,1,5,30,3,1,5,4,5,7,4,17,6,3,10,1,7,5,1,2,11,6,6,21
0,7,0,清水區,7,1,5,30,3,1,4,4,5,5,4,16,6,3,10,1,7,6,1,2,8,6,6,21
0,7,8,北屯區,8,1,5,50,14,9,5,4,5,7,4,18,23,2,9,4,7,9,8,2,16,23,23,16
0,7,8,清水區,6,1,5,50,4,1,4,4,5,7,4,15,6,3,10,1,7,9,1,2,2,6,6,21
1,7,15,潭子區,8,1,5,50,3,1,5,4,5,7,1,3,51,2,9,1,8,16,8,10,16,51,51,22
0,7,15,龍井區,7,1,5,30,14,9,3,4,5,7,4,18,44,2,9,3,7,9,1,2,15,44,44,9
1,7,15,沙鹿區,8,2,5,30,3,2,5,4,5,7,4,17,5,2,8,1,7,5,1,2,11,23,5,21
1,7,23,南屯區,8,1,5,50,14,9,5,4,5,7,4,12,16,2,9,1,7,9,1,2,11,16,16,22
0,7,27,西屯區,8,1,5,50,3,1,5,4,5,7,4,13,16,3,10,3,7,9,1,2,11,16,16,21
1,7,29,太平區,8,1,5,40,3,1,5,4,5,7,4,16,6,2,8,1,7,5,1,2,12,6,6,22
0,7,40,南屯區,8,1,5,50,14,9,5,4,5,7,4,17,27,3,10,1,7,3,1,2,12,27,27,22
0,7,40,大里區,8,1,5,40,14,9,5,4,5,7,4,12,16,3,10,1,7,4,3,1,11,16,16,19
0,7,44,南區,8,1,5,40,4,1,5,4,5,7,4,15,6,2,7,3,7,9,8,2,16,6,6,5
0,7,45,大雅區,8,1,5,50,3,1,5,4,5,7,1,3,15,3,10,1,7,5,1,2,1,15,15,21
